source,source_row_id,entry_time_utc,timeframe,direction,mode,decision,entry_price,stop_loss,take_profit,user_stop_loss,user_take_profit,sl_pct_entry,tp_pct_entry,user_sl_pct_entry,user_tp_pct_entry,rr_algo,rr_user,outcome,outcome_class,realized_r,realized_r_is_estimated,level_price,level_touches,session,sig_momentum,sig_fvg,sig_sweep,htf_up,atr,reason_text,dedup_status,is_duplicate_of
real_trades,1,2026-06-04 03:40:11+00:00,10m,long,,take,4460.048,4442.347,4509.219,4442.347,4509.219,0.3969,1.1025,0.3969,1.1025,,2.78,win,win,2.78,True,,,,,,,,,downtrend breakout-retest continuation,unique,
real_trades,2,2026-06-01 16:00:16+00:00,10m,short,,take,4511.054,4529.143,4457.307,4529.143,4457.307,0.4010,1.1915,0.4010,1.1915,,2.97,win,win,2.97,True,,,,,,,,,break of 3x-retested level; WMA>SMMA,unique,
real_trades,3,2026-05-26 19:50:16+00:00,10m,short,,take,4507.557,4532.967,4432.198,4532.967,4432.198,0.5637,1.6718,0.5637,1.6718,,2.97,win,win,2.97,True,,,,,,,,,2x-retested level break-retest; 2-3R,unique,
real_trades,4,2026-05-26 00:20:16+00:00,10m,short,,take,4551.590,4564.518,4513.041,4564.518,4513.041,0.2840,0.8469,0.2840,0.8469,,2.98,win,win,2.98,True,,,,,,,,,WMA>SMMA; support-break flip to resistance,dup_candidate,tv_review_may_jun:22;tv_review_may_jun:23
real_trades,5,2026-05-20 14:15:16+00:00,5m,long,,take,4479.035,4464.592,4522.455,4464.592,4522.455,0.3225,0.9694,0.3225,0.9694,,3.01,win,win,3.01,True,,,,,,,,,support retest in downtrend; SMMA>WMA,unique,
real_trades,6,2026-05-14 19:00:00+00:00,5m,short,,take,4671.813,4687.409,4625.027,4687.409,4625.027,0.3338,1.0015,0.3338,1.0015,,3.00,win,win,3.00,True,,,,,,,,,repeated-touch support break; WMA>SMMA,unique,
real_trades,7,2026-05-11 12:21:00+00:00,5m,long,,take,4680.095,4661.728,4735.961,4661.728,4735.961,0.3924,1.1937,0.3924,1.1937,,3.04,win,win,3.04,True,,,,,,,,,NO retest; momentum/liquidity entry (exceptional),dup_candidate,tv_review_may_jun:2
real_trades,8,2026-05-08 00:00:00+00:00,10m,short,,take,4705.833,4726.417,4644.081,4726.417,4644.081,0.4374,1.3122,0.4374,1.3122,,3.00,loss,loss,-1.00,True,,,,,,,,,reversal attempt; level not respected before break,unique,
real_trades,9,2026-05-05 11:10:00+00:00,10m,long,,take,4550.006,4524.947,4626.990,4524.947,4626.990,0.5507,1.6920,0.5507,1.6920,,3.07,win,win,3.07,True,,,,,,,,,reversal long; broke LH; SMMA>WMA,unique,
real_trades,10,2026-05-01 05:20:00+00:00,10m,short,,take,4614.544,4637.735,4544.647,4637.735,4544.647,0.5026,1.5147,0.5026,1.5147,,3.01,loss,loss,-1.00,True,,,,,,,,,2x-respected level; WMA>SMMA; hit SL,unique,
real_trades,11,2026-04-26 04:50:00+00:00,10m,long,,take,4544.277,4523.978,4605.538,4523.978,4605.538,0.4467,1.3481,0.4467,1.3481,,3.02,win,win,3.02,True,,,,,,,,,downtrend break-retest; broke prior LH,unique,
real_trades,12,2026-04-24 13:20:00+00:00,10m,long,,take,4695.947,4674.296,4761.100,4674.296,4761.100,0.4611,1.3874,0.4611,1.3874,,3.01,loss,loss,-1.00,True,,,,,,,,,MISTAKE: long in downtrend (no HTF check),unique,
real_trades,13,2026-04-08 12:00:00+00:00,10m,short,,take,4801.441,4824.365,4731.906,4824.365,4731.906,0.4774,1.4482,0.4774,1.4482,,3.03,win,win,3.03,True,,,,,,,,,inclined-support break-retest,unique,
real_trades,14,2026-04-02 02:20:00+00:00,10m,short,,take,4755.886,4804.136,4611.135,4804.136,4611.135,1.0145,3.0436,1.0145,3.0436,,3.00,miss,no_entry,,,,,,,,,,,never entered; price did not retest,unique,
real_trades,15,2026-03-30 00:10:00+00:00,10m,long,,take,4429.213,4395.447,4532.144,4395.447,4532.144,0.7623,2.3239,0.7623,2.3239,,3.05,win,win,3.05,True,,,,,,,,,waited for LH break then support retest,unique,
real_trades,16,2026-03-25 19:10:00+00:00,10m,short,,take,4538.657,4586.943,4393.797,4586.943,4393.797,1.0639,3.1917,1.0639,3.1917,,3.00,win,win,3.00,True,,,,,,,,,heavily-respected level break-retest,unique,
real_trades,17,2026-03-24 01:00:00+00:00,10m,long,,take,4315.214,4232.464,4562.055,4232.464,4562.055,1.9176,5.7202,1.9176,5.7202,,2.98,win,win,2.98,True,,,,,,,,,respected level break-back-retest,unique,
real_trades,18,2026-03-22 21:30:00+00:00,10m,short,,take,4521.470,4627.774,4202.557,4627.774,4202.557,2.3511,7.0533,2.3511,7.0533,,3.00,win,win,3.00,True,,,,,,,,,downtrend; support-break flip to resistance,unique,
real_trades,19,2026-03-12 01:20:00+00:00,10m,short,,take,5172.065,5201.525,5083.683,5201.525,5083.683,0.5696,1.7088,0.5696,1.7088,,3.00,win,win,3.00,True,,,,,,,,,3-4x-retested support break; WMA>SMMA,unique,
real_trades,20,2026-03-04 05:20:00+00:00,10m,long,,take,5136.965,5079.298,5310.825,5079.298,5310.825,1.1226,3.3845,1.1226,3.3845,,3.01,loss,loss,-1.00,True,,,,,,,,,long but bigger picture still downtrend,unique,
real_trades,21,2026-03-03 09:00:00+00:00,15m,short,,take,5279.410,5341.380,5093.499,5341.380,5093.499,1.1738,3.5214,1.1738,3.5214,,3.00,win,win,3.00,True,,,,,,,,,downtrend; support break-retest,unique,
real_trades,22,2026-02-24 17:00:00+00:00,15m,short,,take,5164.579,5195.385,5071.981,5195.385,5071.981,0.5965,1.7929,0.5965,1.7929,,3.01,loss,loss,-1.00,True,,,,,,,,,MISTAKE: short in uptrend,unique,
real_trades,23,2026-02-19 00:00:00+00:00,15m,long,,take,4962.657,4905.097,5135.339,4905.097,5135.339,1.1599,3.4796,1.1599,3.4796,,3.00,win,win,3.00,True,,,,,,,,,reversal long; broke strong LH,unique,
real_trades,24,2026-02-03 01:30:00+00:00,15m,long,,take,4753.521,4640.100,5093.783,4640.100,5093.783,2.3860,7.1581,2.3860,7.1581,,3.00,win,win,3.00,True,,,,,,,,,reversal long; broke strong LH in downtrend,unique,
real_trades,25,2026-01-26 22:45:00+00:00,15m,short,,take,5471.852,5563.320,5195.008,5563.320,5195.008,1.6716,5.0594,1.6716,5.0594,,3.03,win,win,3.03,True,,,,,,,,,reversal short; broke prior HH,unique,
tv_review_may_jun,1,2026-05-11 06:20:00+00:00,10m,short,continuation,skip,4667.405,4683.274,4619.799,,,0.3400,1.0200,,,3.0,,loss,loss,-1.08,False,4669.358,3,london_ny,True,False,False,False,6.51,Yes price is on a downtrend and overall it was not a negative trade and if I were to enter my entry would probably be where you marked the stop loss even though the trade would have lost which is fine but overall the trade was not bad || notes: The size of the trade is very similar to some trades I've made which is good as you put the take profit which would've resulted in a 1% price profit which is realistic as generally speaking when entering trades you should not be especially price to move more than 2% up and 2% down per trade so this kind of entry is good,unique,
tv_review_may_jun,2,2026-05-11 12:50:00+00:00,10m,long,range,take,4700.035,4665.224,4804.468,,,0.7407,2.2220,,,3.0,,timeout,timeout,-0.63,False,4690.668,2,london_ny,True,True,False,True,6.86,entry looks good as you waited for prince to retest 4690 level which is great as we can see price has created a lower high level there recently which makes it a not too bad entry however the take profit is too far up as that would be a 2.25% growth in price which is quite the movement and besides that you should not have placed the take profit above 4766 as that was the peak price for the week and the turning point for the downtrend which makes it a strong resistance level but the stop loss position was not bade as it was placed high below the last lower high before price broke the downtrend pattern || notes: If you respected the previous high of the 7th May 4pm then the trade would have been successful as we could see once price moved to that level it bounced off and came back down - naturally this will not always be the case but its something to take into consideration of possibilities,dup_candidate,real_trades:7
tv_review_may_jun,3,2026-05-11 14:10:00+00:00,10m,long,continuation,skip,4730.945,4663.623,4932.911,,,1.4230,4.2690,,,3.0,,loss,loss,-1.02,False,4728.438,2,london_ny,True,True,False,True,10.49,yes price went up and came back down to retest a lower high level but first you're already in a trade on a similar analysis and second you're not respecting the high of the week and 3rd your stop loss and take profit are too wide! 4.27% growth in price is extreme bullish movement which we have no signs of happening as price has not been volitile so how can we expect price to make such plays but lets give a scenario that price broke the 4764 high of the week and came back to rest that I can make an argument of price climbing that high but even then its not the most realistic trade to make || notes: Make the range of % for price when it comes to your stop loss and take profit smaller as we are not exactly seeing volatile plays being made,unique,
tv_review_may_jun,4,2026-05-11 22:50:00+00:00,10m,long,continuation,skip,4751.09,4731.007,4811.338,,,0.4227,1.2681,,,3.0,,loss,loss,-1.13,False,4748.662,3,rollover,True,False,False,True,5.24,There are no indications that price would move up plus even worse you're trade for price to break a resistance level as normally I would wait for price to break that resistance level before we enter and this is the same for the next trade,unique,
tv_review_may_jun,5,2026-05-12 00:00:00+00:00,10m,long,continuation,skip,4768.365,4730.55,4881.809,,,0.7930,2.3791,,,3.0,,loss,loss,-1.05,False,4765.355,2,asia,False,False,False,True,6.05,Similar to the trade before there is no valid setup for a trade as price is about to touch the reistance level that was marked on the 7th may 4pm so unless price breaks that and retest I dont see a trade plus 2.4% is very optimistic remember we are trading a low timeframe and yes price would be moving a lot but it does not mean we need to look for volatile plays expecting price would reach such a level without moving down first,unique,
tv_review_may_jun,6,2026-05-12 06:10:00+00:00,10m,short,continuation,take,4704.94,4724.57,4646.049,,,0.4172,1.2517,,,3.0,,win,win,2.94,False,4708.772,3,london_ny,True,False,False,False,7.35,good trade as price broke a higher level level and price came back up to 4711 which is a great entry for a short position + stop loss and take profit were good as you placed the stop loss above the previous lower high and the take profit wasn't bad but a bit low as it wouldn't be surprising for price to retest of the 4655 level which it actually done and I choose that level because it done so twice on 11th May 7:00 am and again same day 11th May but 10:30 am but besides that the trade was good,unique,
tv_review_may_jun,7,2026-05-12 20:00:00+00:00,10m,long,range,skip,4714.135,4636.668,4946.535,,,1.6433,4.9299,,,3.0,,timeout,timeout,-0.35,False,4712.168,2,ny_close,True,True,False,True,5.38,1st I see what you were hoping for but price is not really moving there is no momentum its just stuck together and looking for a breakout and retest in such conditions is pointless and we expect a bit of momentum or liquidity sweep but we take action 2nd the range of the stop loss and take profit is toooo wideeee!!! thats nearly 5% growth in price which I do not see price doing remember we care already risking 1% per trade so lets not make it harder for ourselves by setting such a high goal but I understand as you were trying to respend the previous lover low that it made but this trade would be pointless to make,unique,
tv_review_may_jun,8,2026-05-12 23:30:00+00:00,10m,long,continuation,skip,4720.61,4710.31,4751.509,,,0.2182,0.6546,,,3.0,,loss,loss,-1.19,False,4719.822,2,asia,False,False,False,True,4.62,same as the trade before price is not really moving and its not showing momentum but I can respect the fact that you entered when price broke the previous lower high so I can see as to why the algo made this trade,unique,
tv_review_may_jun,9,2026-05-14 07:30:00+00:00,10m,long,range,skip,4712.0,4683.905,4796.284,,,0.5962,1.7887,,,3.0,,loss,loss,-1.04,False,4702.978,2,london_ny,False,False,False,True,7.33,price is consolidation without breaking the consolidation range it is in so there is no trade to be made here unless it breaks either to the upside or downside but we do not make predictions of price breaking consolidations without it actually doing so before you enter or you're shooting yourself in the foot,unique,
tv_review_may_jun,10,2026-05-18 00:10:00+00:00,10m,short,range,take,4523.31,4557.77,4419.929,,,0.7618,2.2855,,,3.0,,loss,loss,-1.05,False,4528.792,2,asia,True,False,False,False,9.32,price broke a consolidation rnage to the downside and price came back to retest and the algo entered so the trade looks good and the stop loss and take profit level are not bad however again the stop loss level is too close to the previous lower high level so if I made this trade then I would have placed the stop loss around 4562 and it would not be surprising if price back to touch the previous lower high so this is what I mean when I say giving price room to move,unique,
tv_review_may_jun,11,2026-05-18 01:00:00+00:00,10m,short,range,skip,4501.75,4559.316,4329.052,,,1.2787,3.8362,,,3.0,,loss,loss,-1.03,False,4507.38,2,asia,True,False,False,False,11.36,analysis is okay same as the previous trade but the expectation where the algo thinks price will move to is too great as price has not gone down to 4325 level in weeks as you can see on the higher time frame is hasn't touched that level in 2 months so take into consideration the lowest price of the day/week and the highst price of the day week as well,unique,
tv_review_may_jun,12,2026-05-18 01:00:00+00:00,10m,short,range,skip,4501.75,4559.316,4329.052,,,1.2787,3.8362,,,3.0,,loss,loss,-1.03,False,4510.347,3,asia,True,True,False,False,11.36,same as answer as trade #11,unique,
tv_review_may_jun,13,2026-05-19 13:40:00+00:00,10m,short,range,skip,4481.51,4551.077,4272.809,,,1.5523,4.6569,,,3.0,,timeout,timeout,-0.6,False,4486.602,2,london_ny,False,True,False,False,12.08,Price did not break and retest and significant level here so I wouldn't have entered and again the expected price % movement for this trade is unrealistic but I understand the reasoning as the stop loss was placed before previous higher high consolidation level which I gave instructions for  but again price has not reach 4277 in months so its not a good take profit to make but above all there is no edge here besides WMA crossing above SMMA previously,unique,
tv_review_may_jun,14,2026-05-20 03:10:00+00:00,10m,short,range,take,4462.71,4512.836,4312.334,,,1.1232,3.3696,,,3.0,,loss,loss,-1.03,False,4464.49,2,asia,True,True,False,False,13.21,not a bad trade or bad analysis if anything I like it as price was entered after it broke a level that was respected twice and came to retest then stop loss was above previous lower high and take profit was 3x that but similar to the previous trade the take profit is unrealistic for price to move there just taking into consideration the lowest price of the day/week,unique,
tv_review_may_jun,15,2026-05-21 02:00:00+00:00,10m,long,continuation,skip,4555.77,4534.95,4618.231,,,0.4570,1.3710,,,3.0,,loss,loss,-1.1,False,4553.2,2,asia,True,False,False,True,6.94,too late for a long trade as that would have happened inbetween trade #14 and '15 which I've sent in the previous trade log I sent you to create this new strategy besides that the sto loss level isn't bad if I were to enter this trade and same with the take profit but besides that its not a good trade as you're predicting price to break a strong resistance level which has been respected in the past which I've mentioned we do not do,unique,
tv_review_may_jun,16,2026-05-21 05:30:00+00:00,10m,short,range,skip,4525.84,4542.557,4475.69,,,0.3694,1.1081,,,3.0,,loss,loss,-1.1,False,4526.362,3,asia,True,True,False,False,5.67,price is basically in a range of consolidation and not exactly respecting any level currently so until we see that price is starting to respect some levels its not great to trade this period,unique,
tv_review_may_jun,17,2026-05-21 07:30:00+00:00,10m,short,continuation,skip,4515.695,4542.107,4436.459,,,0.5849,1.7547,,,3.0,,loss,loss,-1.05,False,4518.388,2,london_ny,True,True,False,False,7.46,same answer as trade #16,unique,
tv_review_may_jun,18,2026-05-21 17:30:00+00:00,10m,long,continuation,skip,4542.585,4512.014,4634.299,,,0.6730,2.0190,,,3.0,,loss,loss,-1.05,False,4540.328,3,london_ny,False,True,False,True,7.94,price is not respecting any level currently and on top of that there realistically is no real edge here,unique,
tv_review_may_jun,19,2026-05-21 18:00:00+00:00,10m,long,continuation,skip,4548.675,4511.73,4659.51,,,0.8122,2.4366,,,3.0,,loss,loss,-1.04,False,4543.862,2,london_ny,True,False,False,True,7.81,same as trade #18,unique,
tv_review_may_jun,20,2026-05-24 22:50:00+00:00,10m,long,reversal,skip,4565.33,4501.739,4756.102,,,1.3929,4.1787,,,3.0,,timeout,timeout,-0.49,False,4559.45,2,rollover,True,False,False,True,8.22,1st we do not predict price to break a strong resistance what we do is allow for the break to happen then wait for price to come back and retest that strong resistance and newly respected support and then we enter the trade but what your trading here is not good as its just below a respected resistance level and besides that the expected price % take profit again is too high as this is a 4% price increase which I would not try and we should try to keep it below 2% but I understand you are trying to respect the 3R:R but in this case its not something you should stick firmly to and second you're trying to respect the price being below the previous lower low movement but price moved up which made the take profit % so high,unique,
tv_review_may_jun,21,2026-05-24 23:10:00+00:00,10m,long,reversal,skip,4574.585,4501.579,4793.603,,,1.5959,4.7877,,,3.0,,timeout,timeout,-0.6,False,4571.688,2,asia,False,False,False,True,8.47,same reasoning as trade #20,unique,
tv_review_may_jun,22,2026-05-26 00:10:00+00:00,10m,short,reversal,take,4545.945,4582.091,4437.507,4564.518,4513.041,0.7951,2.3854,0.4086,0.7238,3.0,1.77,timeout,timeout,0.77,False,4553.608,3,asia,True,False,False,False,5.51,Entry was great as you waited for price to break a support level then came back to retest that level and as soon as it came back you entered which I really respect HOWEVER again your stop and take profits are too high and too low and this was actually a trade I entered and the stop loss was 4564.518 and the take profit was 4513.041 which is ideal as I've said before the range does not need to be so wide and on top of that the stop loss was placed aboved the previous lower high but the lower high you chose was the one before I chose which is the strong resistance level I have spoke of,dup_candidate,real_trades:4
tv_review_may_jun,23,2026-05-26 00:20:00+00:00,10m,short,reversal,take,4549.44,4582.224,4451.088,,,0.7206,2.1618,,,3.0,,timeout,timeout,0.95,False,4550.072,2,asia,True,True,False,False,6.15,same reason as the trade #22,dup_candidate,real_trades:4
tv_review_may_jun,24,2026-05-26 01:50:00+00:00,10m,short,range,take,4537.3,4582.785,4400.846,,,1.0025,3.0074,,,3.0,,timeout,timeout,0.65,False,4540.208,3,asia,True,False,False,False,9.24,same reason as the trade #22 and #23 which is the same as #22,unique,
tv_review_may_jun,25,2026-05-26 17:50:00+00:00,10m,short,continuation,skip,4491.19,4509.299,4436.863,,,0.4032,1.2096,,,3.0,,loss,loss,-1.07,False,4500.555,3,london_ny,False,True,False,False,4.75,not bad analysis on this trade however price is consolidating downwards and your trade is basically predicting that it will break the downward trend and coninue going down 2nd even if I were to enter this trade I am not seeing price retesting anything which invalidations my strategy,unique,
tv_review_may_jun,26,2026-05-26 18:10:00+00:00,10m,short,continuation,skip,4490.8,4509.492,4434.725,,,0.4162,1.2487,,,3.0,,loss,loss,-1.06,False,4491.418,2,london_ny,False,True,False,False,5.69,same reason as trade #25,unique,
tv_review_may_jun,27,2026-05-27 11:00:00+00:00,10m,short,range,skip,4449.845,4501.262,4295.595,,,1.1555,3.4664,,,3.0,,timeout,timeout,1.11,False,4457.262,3,london_ny,True,False,False,False,7.74,there is no edge here price has not broken any respected level nor has it retested any respected or significant level but it is in a downtrend so I can respect looking for short positions whoever like I mentioned before the expected price % on these trades are too high please take into conideration the high and low range of the day and week please,unique,
tv_review_may_jun,28,2026-05-27 12:20:00+00:00,10m,short,range,skip,4454.705,4502.686,4310.763,,,1.0771,3.2312,,,3.0,,timeout,timeout,0.52,False,4462.575,2,london_ny,True,False,False,False,7.74,same reason as trade #27,unique,
tv_review_may_jun,29,2026-05-27 13:20:00+00:00,10m,short,continuation,skip,4405.045,4471.01,4207.15,,,1.4975,4.4925,,,3.0,,loss,loss,-1.02,False,4414.698,3,london_ny,False,True,False,False,13.66,there is no edge here no significant level or respected support or resistance and no retest either so I would not enter this trade,unique,
tv_review_may_jun,30,2026-05-28 01:30:00+00:00,10m,short,continuation,skip,4422.95,4461.813,4306.361,,,0.8787,2.6360,,,3.0,,loss,loss,-1.04,False,4429.418,2,asia,True,True,False,False,8.99,same reason as trade #29,unique,
tv_review_may_jun,31,2026-05-28 14:40:00+00:00,10m,long,continuation,take,4468.0,4413.353,4631.942,4448.000,,1.2231,3.6692,0.4476,,3.0,,timeout,timeout,1.76,False,4462.56,2,london_ny,False,False,False,True,14.17,good trades but what is killing us the the expected % in price so in this scenario I would have placed my stop loss below the newly respected support level so my stop loss would be 4448 and take profit would be 3x that and the reason this trade is okay is because you are not making a prediction as price has already broke the respected resistant level which turned it into a good support level to retest off which it did,unique,
tv_review_may_jun,32,2026-05-28 15:00:00+00:00,10m,long,continuation,take,4473.49,4413.471,4653.546,,,1.3417,4.0250,,,3.0,,timeout,timeout,1.49,False,4466.855,2,london_ny,False,True,False,True,16.01,same reasons as to why I took trade #31,unique,
tv_review_may_jun,33,2026-05-29 07:30:00+00:00,10m,long,continuation,take,4522.71,4500.333,4589.84,,,0.4948,1.4843,,,3.0,,win,win,2.95,False,4520.782,3,london_ny,False,True,False,True,6.88,good entry and good trade and good stop loss and good take profit besides the level being above the strong resistant level but just a but and for the stop loss when we are using a respected support or resistant level its okay to place your stop loss based on that,unique,
tv_review_may_jun,34,2026-05-29 15:10:00+00:00,10m,long,continuation,skip,4588.85,4521.466,4791.003,,,1.4684,4.4053,,,3.0,,loss,loss,-1.03,False,4580.169,4,london_ny,True,False,False,True,13.08,again you are making a prediction that price will break the resistant level and come back down to rest and another thing I need to make clear WE DO NOT TRADE FALSE BREAKOUTS they are misleading so ignore then so if price breaks out then breaks back in immediately which results in long wicks being formed we don't trade them,unique,
tv_review_may_jun,35,2026-06-01 02:50:00+00:00,10m,short,continuation,take,4521.595,4536.935,4475.575,,,0.3393,1.0178,,,3.0,,win,win,2.9,False,4525.88,3,asia,False,False,False,False,7.53,not a bad trade and the stop loss and take profits were placed appropriately with a price movement of -1.04% which is the kind of trade I would make,unique,
tv_review_may_jun,36,2026-06-01 08:00:00+00:00,10m,short,continuation,take,4494.235,4527.597,4394.148,4510.994,,0.7423,2.2270,0.3729,,3.0,,loss,loss,-1.05,False,4499.482,2,london_ny,True,False,False,False,7.58,not a bad trade but the wide stop loss and take profit keeps allowing us to lose money on these trades so like I said before in a csnario like this where price has broke a respected support line and come back to retest it turning it into a resistance we can place stop loss there OR we place it on the most recent high loe that was formed which would have put our stop loss at 4510.994,unique,
tv_review_may_jun,37,2026-06-02 07:10:00+00:00,10m,long,continuation,skip,4539.38,4514.488,4614.057,,,0.5484,1.6451,,,3.0,,loss,loss,-1.05,False,4535.552,2,london_ny,False,True,False,True,6.22,this trade was entered at a level that was touched and did not break so unless price breaks the price that was touched on 1st June at 00:50 am then we would not be entering this trade,unique,
tv_review_may_jun,38,2026-06-02 07:40:00+00:00,10m,long,continuation,skip,4531.735,4514.452,4583.583,,,0.3814,1.1441,,,3.0,,loss,loss,-1.07,False,4528.155,2,london_ny,True,False,False,True,6.64,same reason as trade #37,unique,
