Datetime,Open,High,Low,Close,Volume
2024-03-24 21:00:00+00:00,2166.31,2181.41,2163.615,2171.805,124326
2024-03-25 21:00:00+00:00,2171.81,2200.175,2167.625,2178.74,146164
2024-03-26 21:00:00+00:00,2178.735,2197.675,2173.485,2194.86,116976
2024-03-27 21:00:00+00:00,2193.305,2236.33,2187.41,2233.12,162920
2024-03-31 21:00:00+00:00,2239.24,2265.775,2228.54,2251.67,164243
2024-04-01 21:00:00+00:00,2250.03,2281.155,2246.715,2280.815,190222
2024-04-02 21:00:00+00:00,2281.665,2301.27,2265.505,2299.93,209044
2024-04-03 21:00:00+00:00,2300.04,2305.65,2279.725,2291.21,171534
2024-04-04 21:00:00+00:00,2291.61,2330.525,2267.78,2330.16,224815
2024-04-07 21:00:00+00:00,2327.595,2354.155,2302.975,2339.15,257694
2024-04-08 21:00:00+00:00,2337.72,2365.395,2337.27,2352.41,227807
2024-04-09 21:00:00+00:00,2352.965,2360.15,2319.395,2333.865,235447
2024-04-10 21:00:00+00:00,2334.305,2377.755,2325.74,2372.285,217098
2024-04-11 21:00:00+00:00,2373.96,2431.59,2333.88,2344.235,326788
2024-04-14 21:00:00+00:00,2359.435,2387.645,2324.255,2383.51,289786
2024-04-15 21:00:00+00:00,2382.95,2398.38,2363.06,2383.13,314342
2024-04-16 21:00:00+00:00,2383.57,2395.64,2354.73,2361.095,256356
2024-04-17 21:00:00+00:00,2365.395,2392.86,2363.77,2379.05,236138
2024-04-18 21:00:00+00:00,2379.985,2417.92,2372.91,2392.07,322721
2024-04-21 21:00:00+00:00,2384.365,2388.65,2324.67,2327.24,252885
2024-04-22 21:00:00+00:00,2330.32,2334.51,2291.465,2322.13,311812
2024-04-23 21:00:00+00:00,2322.225,2337.385,2311.815,2315.95,244443
2024-04-24 21:00:00+00:00,2317.555,2344.93,2305.025,2332.49,245819
2024-04-25 21:00:00+00:00,2332.285,2352.64,2326.365,2338.05,210507
2024-04-28 21:00:00+00:00,2333.99,2346.83,2319.84,2335.55,214642
2024-04-29 21:00:00+00:00,2336.04,2336.41,2285.22,2286.21,189148
2024-04-30 21:00:00+00:00,2288.38,2328.43,2281.68,2319.56,219369
2024-05-01 21:00:00+00:00,2320.22,2326.515,2285.545,2303.8,222880
2024-05-02 21:00:00+00:00,2305.19,2320.705,2277.345,2301.81,211036
2024-05-05 21:00:00+00:00,2302.08,2332.225,2291.85,2323.995,195677
2024-05-06 21:00:00+00:00,2325.415,2329.98,2310.04,2314.135,185138
2024-05-07 21:00:00+00:00,2315.275,2321.53,2303.745,2308.69,144285
2024-05-08 21:00:00+00:00,2310.255,2347.25,2306.655,2346.245,193325
2024-05-09 21:00:00+00:00,2345.975,2378.56,2345.325,2360.565,208504
2024-05-12 21:00:00+00:00,2361.65,2364.555,2332.11,2336.14,162093
2024-05-13 21:00:00+00:00,2337.385,2359.705,2334.89,2358.035,166195
2024-05-14 21:00:00+00:00,2357.275,2390.315,2351.915,2386.13,205493
2024-05-15 21:00:00+00:00,2387.99,2397.515,2371.01,2376.955,192066
2024-05-16 21:00:00+00:00,2378.075,2422.79,2374.02,2414.715,176052
2024-05-19 21:00:00+00:00,2425.2,2450.125,2407.34,2426.53,224138
2024-05-20 21:00:00+00:00,2427.37,2433.995,2406.16,2421.025,230456
2024-05-21 21:00:00+00:00,2421.23,2426.615,2374.995,2379.175,237558
2024-05-22 21:00:00+00:00,2379.425,2383.785,2327.02,2328.67,276874
2024-05-23 21:00:00+00:00,2329.53,2347.54,2325.465,2334.0,166580
2024-05-26 21:00:00+00:00,2335.835,2358.565,2332.285,2351.375,126705
2024-05-27 21:00:00+00:00,2352.535,2364.175,2340.31,2361.385,189280
2024-05-28 21:00:00+00:00,2361.33,2361.615,2334.54,2338.145,161527
2024-05-29 21:00:00+00:00,2338.695,2351.905,2322.66,2343.34,205118
2024-05-30 21:00:00+00:00,2343.575,2359.725,2320.595,2327.2,203391
2024-06-02 21:00:00+00:00,2328.82,2354.77,2314.795,2350.635,226649
2024-06-03 21:00:00+00:00,2351.435,2352.885,2315.675,2327.01,231071
2024-06-04 21:00:00+00:00,2328.125,2357.425,2325.965,2355.28,190215
2024-06-05 21:00:00+00:00,2355.97,2378.6,2353.5,2376.09,209307
2024-06-06 21:00:00+00:00,2376.445,2387.785,2286.83,2294.155,275498
2024-06-09 21:00:00+00:00,2291.125,2313.865,2287.805,2310.995,150319
2024-06-10 21:00:00+00:00,2310.54,2320.0,2297.8,2316.905,182302
2024-06-11 21:00:00+00:00,2316.685,2341.7,2310.75,2325.03,253456
2024-06-12 21:00:00+00:00,2324.74,2326.795,2295.59,2304.135,232552
2024-06-13 21:00:00+00:00,2303.775,2336.725,2301.605,2332.645,198693
2024-06-16 21:00:00+00:00,2331.23,2331.44,2310.02,2319.285,167115
2024-06-17 21:00:00+00:00,2320.295,2333.165,2306.65,2329.58,169498
2024-06-18 21:00:00+00:00,2329.005,2335.03,2323.78,2328.23,88930
2024-06-19 21:00:00+00:00,2330.075,2365.59,2327.765,2360.12,175642
2024-06-20 21:00:00+00:00,2359.665,2368.765,2316.785,2321.875,180701
2024-06-23 21:00:00+00:00,2321.03,2334.73,2317.775,2334.43,163356
2024-06-24 21:00:00+00:00,2333.945,2337.16,2315.59,2319.595,169421
2024-06-25 21:00:00+00:00,2320.13,2324.015,2293.69,2298.47,187602
2024-06-26 21:00:00+00:00,2298.84,2331.015,2296.61,2327.81,170158
2024-06-27 21:00:00+00:00,2327.105,2339.785,2319.105,2326.705,176722
2024-06-30 21:00:00+00:00,2323.32,2338.545,2318.605,2331.855,164745
2024-07-01 21:00:00+00:00,2331.875,2336.89,2319.13,2329.485,156836
2024-07-02 21:00:00+00:00,2330.335,2364.995,2326.885,2356.16,167602
2024-07-03 21:00:00+00:00,2356.955,2362.6,2350.51,2357.2,89609
2024-07-04 21:00:00+00:00,2357.03,2392.965,2348.62,2391.62,195599
2024-07-07 21:00:00+00:00,2389.41,2391.13,2351.09,2359.26,187976
2024-07-08 21:00:00+00:00,2359.125,2371.625,2349.485,2364.03,181350
2024-07-09 21:00:00+00:00,2363.9,2386.73,2363.15,2371.32,168686
2024-07-10 21:00:00+00:00,2371.93,2424.6,2371.34,2415.375,237015
2024-07-11 21:00:00+00:00,2413.075,2418.31,2391.52,2410.92,210057
2024-07-14 21:00:00+00:00,2411.81,2439.855,2401.405,2422.395,213404
2024-07-15 21:00:00+00:00,2422.08,2469.765,2420.08,2468.93,213594
2024-07-16 21:00:00+00:00,2467.82,2483.74,2451.57,2458.81,262838
2024-07-17 21:00:00+00:00,2458.755,2475.0,2440.415,2445.31,220149
2024-07-18 21:00:00+00:00,2444.495,2445.34,2393.88,2400.82,234446
2024-07-21 21:00:00+00:00,2403.82,2412.255,2383.93,2396.42,208530
2024-07-22 21:00:00+00:00,2397.595,2412.075,2388.31,2409.65,210650
2024-07-23 21:00:00+00:00,2408.785,2432.065,2396.86,2397.395,223357
2024-07-24 21:00:00+00:00,2397.855,2401.31,2353.195,2364.3,306369
2024-07-25 21:00:00+00:00,2364.505,2390.84,2355.875,2387.02,218330
2024-07-28 21:00:00+00:00,2388.395,2403.265,2369.65,2383.79,208280
2024-07-29 21:00:00+00:00,2382.525,2412.935,2376.535,2410.88,212759
2024-07-30 21:00:00+00:00,2410.74,2451.005,2403.94,2447.57,263144
2024-07-31 21:00:00+00:00,2447.77,2462.325,2430.275,2446.385,308308
2024-08-01 21:00:00+00:00,2447.24,2477.725,2410.885,2442.455,361892
2024-08-04 21:00:00+00:00,2441.94,2458.875,2364.39,2409.89,475567
2024-08-05 21:00:00+00:00,2411.395,2418.43,2381.56,2390.13,340393
2024-08-06 21:00:00+00:00,2390.195,2407.125,2379.05,2382.91,290790
2024-08-07 21:00:00+00:00,2381.475,2427.755,2381.14,2427.27,265056
2024-08-08 21:00:00+00:00,2427.22,2437.085,2416.925,2431.265,223088
2024-08-11 21:00:00+00:00,2428.135,2473.225,2423.89,2472.205,180141
2024-08-12 21:00:00+00:00,2470.39,2476.99,2458.56,2465.055,205142
2024-08-13 21:00:00+00:00,2466.365,2480.125,2438.145,2447.95,224080
2024-08-14 21:00:00+00:00,2448.2,2470.155,2432.225,2456.645,226170
2024-08-15 21:00:00+00:00,2456.105,2509.82,2450.805,2508.14,223838
2024-08-18 21:00:00+00:00,2506.525,2507.535,2485.735,2504.285,220264
2024-08-19 21:00:00+00:00,2503.74,2531.765,2497.4,2514.11,229278
2024-08-20 21:00:00+00:00,2513.86,2519.985,2493.83,2512.25,213088
2024-08-21 21:00:00+00:00,2512.22,2514.73,2470.85,2484.72,222479
2024-08-22 21:00:00+00:00,2485.335,2518.4,2484.41,2512.59,230099
2024-08-25 21:00:00+00:00,2512.035,2526.9,2508.81,2517.955,198137
2024-08-26 21:00:00+00:00,2517.73,2526.01,2503.585,2524.88,201380
2024-08-27 21:00:00+00:00,2525.26,2529.135,2493.665,2504.69,205553
2024-08-28 21:00:00+00:00,2506.21,2528.74,2503.69,2521.215,219815
2024-08-29 21:00:00+00:00,2520.805,2526.925,2494.215,2503.4,223097
2024-09-01 21:00:00+00:00,2502.84,2507.33,2490.105,2499.42,127916
2024-09-02 21:00:00+00:00,2499.55,2506.35,2473.325,2492.95,241125
2024-09-03 21:00:00+00:00,2492.62,2500.345,2471.915,2495.545,209334
2024-09-04 21:00:00+00:00,2495.32,2523.525,2493.88,2516.815,217513
2024-09-05 21:00:00+00:00,2516.46,2529.3,2485.19,2497.565,264809
2024-09-08 21:00:00+00:00,2496.79,2507.265,2485.61,2506.41,222296
2024-09-09 21:00:00+00:00,2506.73,2518.535,2500.19,2516.735,207602
2024-09-10 21:00:00+00:00,2516.55,2529.09,2501.0,2511.675,270423
2024-09-11 21:00:00+00:00,2512.945,2560.13,2511.095,2558.74,241963
2024-09-12 21:00:00+00:00,2558.38,2586.16,2556.795,2578.715,251812
2024-09-15 21:00:00+00:00,2578.79,2589.715,2575.245,2582.665,179044
2024-09-16 21:00:00+00:00,2582.66,2587.02,2560.78,2569.59,202235
2024-09-17 21:00:00+00:00,2570.325,2600.29,2546.86,2559.3,270952
2024-09-18 21:00:00+00:00,2559.235,2594.945,2551.16,2586.91,296927
2024-09-19 21:00:00+00:00,2586.52,2625.79,2584.875,2622.235,272796
2024-09-22 21:00:00+00:00,2621.365,2634.905,2613.89,2628.63,226647
2024-09-23 21:00:00+00:00,2627.79,2664.38,2622.68,2657.26,280786
2024-09-24 21:00:00+00:00,2658.69,2670.605,2649.7,2656.995,250525
2024-09-25 21:00:00+00:00,2657.74,2685.64,2654.84,2672.435,280327
2024-09-26 21:00:00+00:00,2672.235,2674.375,2643.155,2658.755,297824
2024-09-29 21:00:00+00:00,2661.815,2666.05,2624.78,2634.69,295187
2024-09-30 21:00:00+00:00,2633.53,2673.26,2633.31,2663.61,243087
2024-10-01 21:00:00+00:00,2661.92,2663.445,2641.18,2658.75,252533
2024-10-02 21:00:00+00:00,2658.77,2663.015,2637.015,2656.11,381640
2024-10-03 21:00:00+00:00,2655.95,2670.24,2632.015,2653.84,474382
2024-10-06 21:00:00+00:00,2651.39,2659.66,2637.77,2642.585,461636
2024-10-07 21:00:00+00:00,2642.085,2653.115,2604.82,2621.965,599562
2024-10-08 21:00:00+00:00,2622.11,2624.375,2605.21,2607.835,460104
2024-10-09 21:00:00+00:00,2607.735,2631.565,2604.39,2629.92,479448
2024-10-10 21:00:00+00:00,2628.62,2661.475,2628.18,2657.18,381892
2024-10-13 21:00:00+00:00,2648.805,2666.875,2643.245,2648.785,353104
2024-10-14 21:00:00+00:00,2649.215,2668.965,2638.105,2662.695,477113
2024-10-15 21:00:00+00:00,2662.285,2685.465,2658.8,2673.93,442562
2024-10-16 21:00:00+00:00,2674.605,2696.8,2673.165,2693.01,475142
2024-10-17 21:00:00+00:00,2693.045,2722.65,2692.395,2721.9,465068
2024-10-20 21:00:00+00:00,2723.09,2740.6,2714.235,2719.675,528217
2024-10-21 21:00:00+00:00,2719.36,2748.975,2719.16,2748.96,443910
2024-10-22 21:00:00+00:00,2747.33,2758.525,2708.755,2715.59,512342
2024-10-23 21:00:00+00:00,2716.415,2743.325,2716.215,2736.08,447138
2024-10-24 21:00:00+00:00,2735.95,2747.835,2717.1,2747.215,394283
2024-10-27 21:00:00+00:00,2734.065,2746.01,2724.755,2742.325,373977
2024-10-28 21:00:00+00:00,2741.45,2774.885,2739.87,2774.58,435490
2024-10-29 21:00:00+00:00,2773.51,2790.07,2770.925,2787.475,407257
2024-10-30 21:00:00+00:00,2786.87,2790.17,2731.635,2743.95,447593
2024-10-31 21:00:00+00:00,2745.37,2762.275,2733.255,2736.45,439369
2024-11-03 22:00:00+00:00,2732.04,2748.24,2731.77,2736.605,397960
2024-11-04 22:00:00+00:00,2737.365,2750.09,2724.765,2743.91,357121
2024-11-05 22:00:00+00:00,2743.065,2749.78,2652.405,2659.12,789614
2024-11-06 22:00:00+00:00,2662.255,2710.52,2643.355,2706.84,532576
2024-11-07 22:00:00+00:00,2704.26,2710.43,2680.415,2684.455,483357
2024-11-10 22:00:00+00:00,2683.71,2686.165,2610.695,2619.595,455689
2024-11-11 22:00:00+00:00,2621.07,2627.235,2589.725,2598.29,486328
2024-11-12 22:00:00+00:00,2597.96,2618.92,2572.7,2572.83,494597
2024-11-13 22:00:00+00:00,2573.84,2581.445,2536.855,2564.72,543895
2024-11-14 22:00:00+00:00,2566.485,2576.045,2554.395,2563.22,490248
2024-11-17 22:00:00+00:00,2567.13,2615.145,2567.13,2612.04,432905
2024-11-18 22:00:00+00:00,2610.755,2639.53,2610.465,2632.2,464447
2024-11-19 22:00:00+00:00,2632.535,2655.485,2618.89,2650.46,412515
2024-11-20 22:00:00+00:00,2649.925,2673.595,2648.975,2669.645,392187
2024-11-21 22:00:00+00:00,2669.5,2716.4,2668.2,2716.335,498172
2024-11-24 22:00:00+00:00,2711.165,2721.42,2615.67,2625.62,557805
2024-11-25 22:00:00+00:00,2627.485,2642.02,2605.31,2632.955,448187
2024-11-26 22:00:00+00:00,2631.21,2658.275,2627.125,2636.09,346185
2024-11-27 22:00:00+00:00,2637.98,2649.735,2620.99,2637.6,245089
2024-11-28 22:00:00+00:00,2639.285,2666.35,2634.09,2650.35,374607
2024-12-01 22:00:00+00:00,2648.9,2651.905,2621.98,2638.955,480009
2024-12-02 22:00:00+00:00,2638.96,2655.665,2634.165,2643.885,387355
2024-12-03 22:00:00+00:00,2642.66,2657.235,2632.465,2650.215,334792
2024-12-04 22:00:00+00:00,2649.36,2655.635,2623.615,2631.925,288805
2024-12-05 22:00:00+00:00,2631.985,2645.73,2613.11,2633.33,374718
2024-12-08 22:00:00+00:00,2643.08,2676.48,2627.575,2660.62,366975
2024-12-09 22:00:00+00:00,2661.1,2695.595,2658.035,2693.875,336809
2024-12-10 22:00:00+00:00,2695.145,2721.27,2675.465,2718.245,309607
2024-12-11 22:00:00+00:00,2717.81,2726.295,2675.165,2680.825,242708
2024-12-12 22:00:00+00:00,2680.705,2692.865,2646.22,2648.68,376381
2024-12-15 22:00:00+00:00,2648.86,2664.475,2643.595,2652.805,311149
2024-12-16 22:00:00+00:00,2652.26,2658.74,2633.16,2646.6,339064
2024-12-17 22:00:00+00:00,2646.88,2651.785,2583.915,2585.61,409117
2024-12-18 22:00:00+00:00,2587.54,2626.44,2586.46,2594.505,435451
2024-12-19 22:00:00+00:00,2594.18,2631.92,2589.665,2623.61,349045
2024-12-22 22:00:00+00:00,2622.21,2633.39,2608.26,2612.86,254727
2024-12-23 22:00:00+00:00,2614.795,2621.535,2610.105,2616.875,193946
2024-12-25 22:00:00+00:00,2615.31,2639.175,2615.145,2633.865,205673
2024-12-26 22:00:00+00:00,2633.3,2638.3,2611.715,2622.035,243524
2024-12-29 22:00:00+00:00,2622.075,2628.095,2596.185,2605.825,240683
2024-12-30 22:00:00+00:00,2606.065,2627.625,2602.76,2624.225,217481
2025-01-01 22:00:00+00:00,2625.07,2660.605,2621.775,2658.23,368164
2025-01-02 22:00:00+00:00,2657.82,2665.405,2636.705,2639.725,306038
2025-01-05 22:00:00+00:00,2639.88,2649.52,2614.635,2636.105,379010
2025-01-06 22:00:00+00:00,2635.965,2664.33,2633.0,2648.625,362049
2025-01-07 22:00:00+00:00,2648.655,2670.15,2645.37,2661.655,365853
2025-01-08 22:00:00+00:00,2662.24,2678.405,2655.635,2670.34,252089
2025-01-09 22:00:00+00:00,2670.45,2697.95,2664.075,2689.375,399847
2025-01-12 22:00:00+00:00,2689.32,2693.555,2656.835,2663.21,462679
2025-01-13 22:00:00+00:00,2664.465,2678.395,2659.89,2677.51,402658
2025-01-14 22:00:00+00:00,2676.94,2697.42,2669.365,2696.265,391645
2025-01-15 22:00:00+00:00,2696.16,2724.785,2690.05,2714.87,437295
2025-01-16 22:00:00+00:00,2714.215,2717.43,2699.3,2703.15,367941
2025-01-19 22:00:00+00:00,2703.135,2713.885,2689.375,2707.905,347524
2025-01-20 22:00:00+00:00,2708.015,2746.055,2702.815,2744.865,469784
2025-01-21 22:00:00+00:00,2744.55,2763.435,2741.965,2756.345,375198
2025-01-22 22:00:00+00:00,2755.74,2758.97,2735.96,2754.855,392023
2025-01-23 22:00:00+00:00,2753.815,2786.06,2753.64,2770.885,388852
2025-01-26 22:00:00+00:00,2765.17,2772.745,2730.56,2740.655,428578
2025-01-27 22:00:00+00:00,2740.88,2765.09,2734.815,2763.42,280516
2025-01-28 22:00:00+00:00,2763.305,2766.265,2744.755,2760.09,345381
2025-01-29 22:00:00+00:00,2758.43,2798.605,2758.39,2794.17,397688
2025-01-30 22:00:00+00:00,2794.425,2817.215,2791.07,2797.94,431343
2025-02-02 22:00:00+00:00,2801.655,2830.755,2772.215,2814.71,547265
2025-02-03 22:00:00+00:00,2813.3,2845.47,2807.275,2842.33,461625
2025-02-04 22:00:00+00:00,2841.36,2882.31,2839.74,2867.195,424886
2025-02-05 22:00:00+00:00,2867.785,2873.34,2834.27,2855.92,437098
2025-02-06 22:00:00+00:00,2856.015,2886.855,2852.595,2861.23,453330
2025-02-09 22:00:00+00:00,2861.84,2911.965,2860.405,2908.175,401753
2025-02-10 22:00:00+00:00,2911.95,2942.78,2881.56,2897.615,555120
2025-02-11 22:00:00+00:00,2898.025,2909.265,2864.33,2903.96,442708
2025-02-12 22:00:00+00:00,2904.79,2929.48,2900.545,2928.33,353609
2025-02-13 22:00:00+00:00,2928.05,2939.98,2877.025,2882.482,464209
2025-02-16 22:00:00+00:00,2893.375,2906.525,2878.785,2898.49,259373
2025-02-17 22:00:00+00:00,2898.71,2936.955,2892.07,2935.465,271934
2025-02-18 22:00:00+00:00,2935.06,2947.08,2918.64,2933.26,315649
2025-02-19 22:00:00+00:00,2934.175,2954.955,2924.035,2939.35,309995
2025-02-20 22:00:00+00:00,2939.43,2949.93,2916.82,2936.05,325676
2025-02-23 22:00:00+00:00,2939.785,2956.31,2921.475,2952.065,331081
2025-02-24 22:00:00+00:00,2952.84,2953.425,2888.18,2915.045,411149
2025-02-25 22:00:00+00:00,2915.835,2930.18,2890.865,2916.275,280936
2025-02-26 22:00:00+00:00,2915.98,2920.815,2867.795,2877.195,403756
2025-02-27 22:00:00+00:00,2876.52,2885.24,2832.72,2858.14,382103
2025-03-02 22:00:00+00:00,2873.14,2895.21,2859.0,2892.985,321040
2025-03-03 22:00:00+00:00,2892.7,2927.91,2881.98,2917.85,367823
2025-03-04 22:00:00+00:00,2917.885,2929.98,2894.35,2919.25,441544
2025-03-05 22:00:00+00:00,2918.685,2926.72,2891.15,2911.02,386680
2025-03-06 22:00:00+00:00,2912.935,2930.54,2896.91,2910.705,417408
2025-03-09 21:00:00+00:00,2912.41,2918.385,2880.31,2889.5,396067
2025-03-10 21:00:00+00:00,2889.865,2922.225,2880.25,2915.695,291850
2025-03-11 21:00:00+00:00,2915.36,2940.69,2906.11,2933.61,337332
2025-03-12 21:00:00+00:00,2934.88,2989.3,2932.98,2988.695,345927
2025-03-13 21:00:00+00:00,2984.23,3005.04,2978.505,2984.91,363345
2025-03-16 21:00:00+00:00,2988.225,3001.975,2982.34,3001.13,270148
2025-03-17 21:00:00+00:00,3001.16,3038.35,2999.46,3034.155,332192
2025-03-18 21:00:00+00:00,3033.97,3051.97,3022.885,3047.105,298149
2025-03-19 21:00:00+00:00,3048.72,3057.59,3025.73,3044.66,316860
2025-03-20 21:00:00+00:00,3045.005,3047.55,2999.465,3023.985,309314
2025-03-23 21:00:00+00:00,3023.165,3033.34,3002.495,3012.15,331253
